geoId	 Municipal	 Department	 popMen	 popWomen	 popTotal	 popDensity	 geometry	 totalHomicides	 homicideRate
1001	 LA ESPERANZA	 INTIBUC	 4499	 4984	 9483	 47.3771	 {u'type': u'GeometryCollection', u'geometries': [{u'type': u'Polygon', u'coordinates': [[[-88.15754, 14.309302], [-88.131997, 14.31163], [-88.126095, 14.305387], [-88.118613, 14.306378], [-88.107376, 14.297113], [-88.096666, 14.294638], [-88.071517, 14.274021], [-88.070808, 14.26533], [-88.058792, 14.256684], [-88.05645, 14.25005], [-88.106634, 14.21125], [-88.107723, 14.192226], [-88.11771, 14.183611], [-88.119703, 14.173047], [-88.153671, 14.160203], [-88.164939, 14.172349], [-88.166983, 14.188273], [-88.15406, 14.212611], [-88.161231, 14.222857], [-88.164011, 14.247073], [-88.175347, 14.254903], [-88.218368, 14.306134], [-88.216435, 14.312075], [-88.197055, 14.30426], [-88.185237, 14.30907], [-88.15754, 14.309302]]]}, {u'type': u'Polygon', u'coordinates': [[[-88.192374, 14.656594], [-88.218663, 14.621626], [-88.232271, 14.629722], [-88.253834, 14.62813], [-88.254341, 14.644154], [-88.250283, 14.646478], [-88.232788, 14.65383], [-88.192374, 14.656594]]]}]}	 11	 116.0	 
1002	 CAMASCA	 INTIBUC	 3544	 4119	 7662	 96.0973	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.419499, 13.967719], [-88.43249, 13.972681], [-88.427417, 13.977729], [-88.428268, 13.984085], [-88.440977, 14.002028], [-88.43546, 14.019309], [-88.426534, 14.019344], [-88.403097, 14.035696], [-88.383385, 14.038966], [-88.381442, 14.044537], [-88.373495, 14.042477], [-88.365431, 14.014321], [-88.340896, 13.992594], [-88.333785, 13.995698], [-88.338231, 13.988778], [-88.331725, 13.97891], [-88.342787, 13.973354], [-88.342397, 13.959533], [-88.356474, 13.956101], [-88.369129, 13.972625], [-88.378218, 13.971541], [-88.378483, 13.964465], [-88.419499, 13.967719]]]}}	 1	 13.1	 
1003	 COLOMONCAGUA	 INTIBUC	 10728	 10654	 21382	 84.7029	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.256543, 14.073582], [-88.24805, 14.087474], [-88.237427, 14.086418], [-88.22844, 14.067558], [-88.204643, 14.051325], [-88.21718, 13.993091], [-88.229942, 13.999986], [-88.238493, 13.99474], [-88.234519, 13.987943], [-88.236084, 13.970277], [-88.219538, 13.953882], [-88.227029, 13.938099], [-88.261434, 13.938897], [-88.266416, 13.934587], [-88.263108, 13.918669], [-88.268885, 13.912831], [-88.28099, 13.90923], [-88.289677, 13.914391], [-88.313662, 13.902034], [-88.317802, 13.890048], [-88.329814, 13.89406], [-88.333144, 13.891042], [-88.343312, 13.896411], [-88.349911, 13.889531], [-88.357813, 13.916186], [-88.350479, 13.919586], [-88.347605, 13.931287], [-88.356036, 13.953406], [-88.34177, 13.960017], [-88.342799, 13.973331], [-88.331864, 13.978524], [-88.337943, 13.990967], [-88.331563, 14.001175], [-88.303276, 14.012738], [-88.262981, 14.021448], [-88.271822, 14.031951], [-88.265155, 14.043742], [-88.272384, 14.051463], [-88.273745, 14.04699], [-88.282787, 14.043991], [-88.28521, 14.051295], [-88.282357, 14.059287], [-88.256543, 14.073582]]]}}	 1	 4.7	 
1004	 CONCEPCION	 INTIBUC	 5428	 5475	 10902	 103.113	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.377029, 14.045258], [-88.364973, 14.052941], [-88.35115, 14.075361], [-88.345565, 14.073295], [-88.340959, 14.078007], [-88.332864, 14.075336], [-88.327331, 14.079143], [-88.333748, 14.096393], [-88.328298, 14.104474], [-88.317735, 14.106768], [-88.280791, 14.095168], [-88.270879, 14.06494], [-88.282383, 14.059266], [-88.285601, 14.046833], [-88.282078, 14.043953], [-88.270987, 14.050798], [-88.265036, 14.043344], [-88.271803, 14.031861], [-88.262581, 14.022254], [-88.303276, 14.012738], [-88.331563, 14.001175], [-88.340896, 13.992594], [-88.365431, 14.014321], [-88.377029, 14.045258]]]}}	 1	 9.2	 
1005	 DOLORES	 INTIBUC	 3080	 2743	 5823	 46.5016	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.409449, 14.280832], [-88.381824, 14.295253], [-88.346073, 14.297003], [-88.337387, 14.288338], [-88.310889, 14.295143], [-88.295084, 14.28088], [-88.305186, 14.247893], [-88.316186, 14.229728], [-88.337316, 14.225562], [-88.369301, 14.232331], [-88.383873, 14.229274], [-88.389014, 14.234582], [-88.401987, 14.237339], [-88.405598, 14.242819], [-88.4209, 14.246491], [-88.424928, 14.25806], [-88.409449, 14.280832]]]}}	 1	 17.2	 
1006	 INTIBUCA	 INTIBUC	 29576	 32099	 61676	 73.0202	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.225353, 14.388139], [-88.243338, 14.405534], [-88.248722, 14.418953], [-88.245836, 14.437543], [-88.25128, 14.446957], [-88.253843, 14.469243], [-88.245685, 14.473843], [-88.245411, 14.482449], [-88.239078, 14.485052], [-88.242537, 14.496918], [-88.238259, 14.509692], [-88.238916, 14.514862], [-88.251822, 14.523451], [-88.248924, 14.532941], [-88.239936, 14.53783], [-88.236667, 14.546377], [-88.218997, 14.562165], [-88.217222, 14.599684], [-88.210478, 14.595004], [-88.200875, 14.598041], [-88.190836, 14.603184], [-88.183813, 14.613479], [-88.214771, 14.62637], [-88.191872, 14.656629], [-88.163297, 14.658578], [-88.128835, 14.650228], [-88.135568, 14.641756], [-88.128593, 14.635062], [-88.130664, 14.62601], [-88.159898, 14.612354], [-88.163347, 14.600969], [-88.149389, 14.566717], [-88.156089, 14.562065], [-88.151113, 14.551774], [-88.149359, 14.518199], [-88.142034, 14.503982], [-88.127822, 14.51828], [-88.11576, 14.442813], [-88.051452, 14.423179], [-88.066864, 14.404718], [-88.056569, 14.378423], [-88.058965, 14.371922], [-88.054177, 14.358195], [-88.069262, 14.339496], [-88.043032, 14.31961], [-88.020054, 14.274786], [-88.005962, 14.274515], [-88.008814, 14.252672], [-88.044987, 14.253975], [-88.05645, 14.25005], [-88.079656, 14.281843], [-88.131909, 14.311607], [-88.1826, 14.30937], [-88.196978, 14.304258], [-88.216435, 14.312075], [-88.206466, 14.343539], [-88.222989, 14.353021], [-88.22136, 14.384277], [-88.225353, 14.388139]]]}}	 13	 21.1	 
1007	 JESUS DE OTORO	 INTIBUC	 16089	 16309	 32398	 50.2009	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.076585, 14.662746], [-88.067595, 14.654682], [-88.060201, 14.637657], [-88.04107, 14.640893], [-87.999923, 14.627383], [-87.988266, 14.6142], [-87.979163, 14.618045], [-87.964353, 14.612418], [-87.965722, 14.600649], [-87.95149, 14.582096], [-87.952842, 14.569865], [-87.942878, 14.543251], [-87.910221, 14.535461], [-87.90093, 14.527639], [-87.904226, 14.510453], [-87.902647, 14.501196], [-87.897432, 14.4979], [-87.906062, 14.487585], [-87.933891, 14.470354], [-87.924958, 14.46475], [-87.928781, 14.451909], [-87.953444, 14.431835], [-87.966616, 14.428859], [-87.970488, 14.439196], [-87.984925, 14.441588], [-88.001072, 14.431912], [-88.017456, 14.43595], [-88.017258, 14.432441], [-88.035247, 14.42313], [-88.053706, 14.423121], [-88.065509, 14.430304], [-88.11576, 14.442813], [-88.127822, 14.51828], [-88.091919, 14.531881], [-88.082567, 14.543513], [-88.082377, 14.552328], [-88.067907, 14.561905], [-88.062022, 14.572251], [-88.080966, 14.574907], [-88.083778, 14.58752], [-88.094032, 14.593909], [-88.097497, 14.602382], [-88.118243, 14.61296], [-88.130426, 14.626904], [-88.128593, 14.635062], [-88.135568, 14.641756], [-88.128835, 14.650228], [-88.100744, 14.642249], [-88.089067, 14.658171], [-88.076585, 14.662746]]]}}	 14	 43.2	 
1008	 MAGDALENA	 INTIBUC	 2304	 2613	 4918	 101.21	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-88.35748, 13.916568], [-88.349495, 13.886009], [-88.351949, 13.875062], [-88.361693, 13.869775], [-88.376433, 13.885066], [-88.39126, 13.883177], [-88.397018, 13.894246], [-88.371374, 13.913561], [-88.386999, 13.929797], [-88.400167, 13.936402], [-88.401711, 13.944045], [-88.396646, 13.955676], [-88.399276, 13.965279], [-88.378483, 13.964465], [-88.378248, 13.971505], [-88.371808, 13.972471], [-88.364635, 13.969779], [-88.355241, 13.955937], [-88.347609, 13.931312], [-88.350479, 13.919586], [-88.35748, 13.916568]]]}}	 1	 20.3	 
1009	 MASAGUARA	 INTIBUC	 9153	 9224	 18377	 49.2605	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-87.882553, 14.403278], [-87.917204, 14.381096], [-87.947983, 14.384761], [-87.957864, 14.390688], [-87.955155, 14.374762], [-87.961773, 14.368756], [-87.956256, 14.356886], [-87.958587, 14.34994], [-87.95111, 14.342742], [-87.955815, 14.329652], [-87.952422, 14.327575], [-87.968876, 14.322634], [-87.968223, 14.308656], [-87.974581, 14.297559], [-87.998046, 14.288316], [-88.004701, 14.272861], [-88.020054, 14.274786], [-88.043032, 14.31961], [-88.069262, 14.339496], [-88.054202, 14.357903], [-88.058965, 14.371922], [-88.056569, 14.378423], [-88.06687, 14.40464], [-88.057186, 14.419828], [-88.035247, 14.42313], [-88.017258, 14.432441], [-88.017456, 14.43595], [-88.001072, 14.431912], [-87.984925, 14.441588], [-87.970488, 14.439196], [-87.966616, 14.428859], [-87.953444, 14.431835], [-87.928781, 14.451909], [-87.924958, 14.46475], [-87.933891, 14.470354], [-87.906062, 14.487585], [-87.897432, 14.4979], [-87.887319, 14.491683], [-87.880662, 14.478453], [-87.851735, 14.448471], [-87.847619, 14.433864], [-87.865692, 14.414178], [-87.882553, 14.403278]]]}}	 7	 38.1	 
101	 LA CEIBA	 ATLNTIDA	 100287	 106874	 207161	 194.977	 {u'geometry': {u'type': u'Polygon', u'coordinates': [[[-86.682563, 15.788105], [-86.636867, 15.797414], [-86.598941, 15.798051], [-86.600449, 15.753812], [-86.611709, 15.737063], [-86.62604, 15.726423], [-86.608425, 15.69856], [-86.618256, 15.688025], [-86.616529, 15.662322], [-86.610639, 15.646179], [-86.615781, 15.613767], [-86.695988, 15.583009], [-86.732253, 15.558138], [-86.764215, 15.549094], [-86.765163, 15.545303], [-86.775712, 15.543237], [-86.802161, 15.548432], [-86.809282, 15.555955], [-86.818247, 15.553697], [-86.828616, 15.543559], [-86.839253, 15.549453], [-86.848719, 15.548002], [-86.850432, 15.565174], [-86.858359, 15.566693], [-86.865408, 15.561816], [-86.864872, 15.575242], [-86.87622, 15.588619], [-86.878614, 15.603997], [-86.883334, 15.607726], [-86.86461, 15.616449], [-86.864374, 15.621261], [-86.882118, 15.635016], [-86.850223, 15.65791], [-86.846604, 15.683784], [-86.86236, 15.713935], [-86.869113, 15.743885], [-86.883804, 15.754831], [-86.88303, 15.762317], [-86.829894, 15.768723], [-86.778813, 15.799489], [-86.729866, 15.790406], [-86.682563, 15.788105]]]}}	 197	 95.1	 
